resume, "이력서"
applicant, "지원자"
requirement, "필요조건"
meet, "(요구를) 만족시키다"
qualified, "자격 있는"
candidate, "후보자"
confidence, "확신"
highly, "매우"
professional, "전문적인"
interview, "면접"
hire, "고용하다"
training, "교육"
reference, "추천서"
position, "일자리"
achievement, "성취"
impressed, "감명 깊은"
excellent, "훌륭한"
eligible, "자격이 있는"
identify, "알아보다"
associate, "관련시키다"
condition, "조건"
employment, "고용"
lack, "부족, 결핍"
managerial, "관리의"
diligent, "성실한"
familiar, "익숙한"
proficiency, "숙달"
prospective, "장래의"
appeal, "관심을 끌다"
specialize, "전문으로 하다"
apprehensive, "걱정하는"
consultant, "고문, 컨설턴트"
entitle, "자격을 주다"
degree, "학위"
payroll, "임금대장"
recruit, "(신입사원 등을) 모집하다"
certification, "증명서"
occupation, "직업"
wage, "임금"
attire, "복장"
code, "규범"
concern, "우려"
policy, "규정"
comply, "준수하다"
regulation, "규정"
exception, "예외"
adhere, "지키다"
severely, "엄격하게"
refrain, "자제하다"
permission, "허락"
access, "이용 권한"
thoroughly, "철저하게"
revise, "(의견을) 수정하다"
approach, "접근법"
approval, "승인"
form, "종류"
immediately, "즉시"
inspection, "점검"
arrangement, "준비"
procedure, "절차"
negative, "부정적인"
mandate, "명령하다"
effect, "(법률 등의) 효력"
drastically, "심하게"
according, "따라"
enable, "가능하게 하다"
standard, "기준"
constant, "지속적인"
act, "법령"
compensation, "보상금"
ban, "금지"
obligation, "의무"
authorize, "권한을 부여하다"
prohibit, "금지하다"
abolish, "(제도를) 폐지하다"
enforce, "(법률을) 시행하다"
habit, "습관"
legislation, "법률"
restrict, "한정하다"
accustomed, "익숙한"
corporation, "주식회사"
demanding, "요구가 많은"
colleague, "동료"
division, "부서"
request, "요청"
efficiently, "효율적으로"
manage, "관리하다"
submit, "제출하다"
directly, "곧바로"
remind, "상기시키다"
instruct, "지시하다"
deadline, "마감일"
sample, "견본"
notify, "알리다"
perform, "행하다"
monitor, "감독하다"
deserve, "할 만하다"
assignment, "일"
entire, "전체의"
release, "발표하다"
extension, "연장"
electronically, "컴퓨터로"
attendance, "출석"
absolutely, "절대적으로"
delegate, "(권한 등을) 위임하다"
attentively, "주의 깊게"
supervision, "감독"
workshop, "워크숍"
draw, "끌다"
revision, "수정"
reluctantly, "마지못해"
acquaint, "숙지시키다"
convey, "(용건을) 전달하다"
check, "검사하다"
headquarters, "본부"
file, "(서류를) 정리하다"
oversee, "감독하다"
involved, "관여하는"
concentrate, "집중하다"
lax, "느슨한"
procrastinate, "미루다"
combined, "결합된"
accomplish, "성취하다"
voluntarily, "자발적으로"
undertake, "(일을) 떠맡다"
assume, "책임지다, 추정하다"
occasionally, "가끔"
employee, "직원"
assist, "돕다"
satisfied, "만족하는"
manner, "방식"
responsible, "책임이 있는"
conduct, "업무를 수행하다"
adjust, "적응하다"
personnel, "직원"
agree, "동의하다"
supervise, "감독하다"
coworker, "동료"
direct, "안내하다"
confidential, "기밀의"
assign, "배정하다"
leading, "선도적인"
formal, "격식을 차린"
remove, "해임하다"
collect, "모으다"
coordinate, "조정하다"
